image_id_worm,worm_type,number_of_worms
id_0002ea6f15c7fa6f4c221783.jpg,pbw,51
id_0005ef295aafe6acc63587db.jpg,pbw,8
id_00084298dd030a500033ff78.jpg,,0
id_00093f2c76f6488737325859.jpg,pbw,12
id_000b2e6c437c643f25d4a6c3.jpg,pbw,87
id_000c2040da4b05816cefbb96.jpg,,0
id_001149c0de05ea4941d966e0.jpg,abw,5
id_001e574d805941d7f2cb0302.jpg,,0
id_001f4346191855c521871616.jpg,,0
id_002087d55e497d26352496a4.jpg,,0
id_002b8a0e15968eaf2e61f4c7.jpg,pbw,7
id_003ad8831eae2f0117f5aaf2.jpg,pbw,8
id_00450e8b229932359e7c32a3.jpg,abw,2
id_00450e8b229932359e7c32a3.jpg,pbw,33
id_004cb31e5bfaba2dab9042e5.jpg,pbw,4
id_0051657d3b6b4d7858088283.jpg,,0
id_006296f82479c03459102436.jpg,,0
id_00695feae97d7bf88bb498a2.jpg,pbw,58
id_006e9f771965fd78278baa19.jpg,pbw,1
id_00750938fb12fad4fd8fad24.jpg,pbw,9
id_00773a42b1415d887107663a.jpg,abw,5
id_007faaec98bbae829fb2b29d.jpg,pbw,4
id_009d7e2ef3c4f47b14c6c4c3.jpg,,0
id_009ea76ac5d7756b747ec589.jpg,,0
id_00a724a5dd06427c16ff8479.jpg,,0
id_00a90e6639b2983e1ef6244f.jpg,abw,3
id_00adaccff7693b67eeb8fdc7.jpg,abw,7
id_00b0c1caec542c07ab994269.jpg,pbw,41
id_00b14550034ab3bafcb67117.jpg,pbw,25
id_00b6b77332b132dbb58a7dc4.jpg,pbw,7
id_00b9f1978098b0c5cbadc8c0.jpg,,0
id_00bbc1f6e9dcde3f2aad3f39.jpg,abw,9
id_00c5e18f37b15519ace21ce2.jpg,,0
id_00c6d6db61a9d7393ad39186.jpg,pbw,15
id_00c9f22558812a7dc90a6abe.jpg,,0
id_00cebe0be9dc0afe898e7ad8.jpg,,0
id_00d5771ea3336b8bec3efadc.jpg,pbw,3
id_00dba65608f8f0d314e26863.jpg,,0
id_00e5892f475750f80a9f9ce5.jpg,,0
id_00f6b4240b3a317a94ebe569.jpg,pbw,18
id_01014362322ea3c534e072e2.jpg,pbw,8
id_010742a987f5d2798a71b9c5.jpg,pbw,7
id_010ae7597674496a7d294784.jpg,pbw,7
id_011053445073ba5d12e029fd.jpg,pbw,7
id_0128f4371f1b1a678062cff6.jpg,pbw,4
id_012944c998fd7b1f24f28c43.jpg,pbw,148
id_012f7b35e6c96aab38d9fc42.jpg,,0
id_01329829acd5c33f869cda33.jpg,abw,10
id_0135abc282969ec43d0ca7c5.jpg,,0
id_013aa8fb74e120988c7f39cd.jpg,pbw,40
id_014ca7977404a1eddb5093e2.jpg,abw,7
id_0155336fba3f5fb5e4f73e7d.jpg,pbw,2
id_015ebc8c94fa4bcdc5309757.jpg,,0
id_01605fca152d65489cea2825.jpg,pbw,33
id_0165dfb1d87a3384867f166b.jpg,pbw,2
id_016679d9999706a46c622b54.jpg,pbw,80
id_0167bdaa4aa2c6fd1a772a47.jpg,abw,6
id_0170310c03b734df4b697484.jpg,pbw,3
id_0170777a90bebfd694bd1fb3.jpg,pbw,3
id_017f14a0797d829410ffa9a9.jpg,abw,5
id_01917794202e3e9e955cff41.jpg,abw,6
id_01997137aca6c1bdf84b7987.jpg,pbw,100
id_019bf4c2aa879a92b7ea0366.jpg,abw,4
id_01a1616a097c741307b50a1c.jpg,pbw,7
id_01a7c1af6c25326a9dff642f.jpg,abw,1
id_01a97ff8f5d78067572f8997.jpg,abw,5
id_01ad6aac7645ca81bc49dc8c.jpg,,0
id_01b392f4ed99b058e38ce2b9.jpg,abw,9
id_01b722a2f876035752d90496.jpg,pbw,22
id_01c7e676e8ec4947690acee6.jpg,abw,6
id_01c80c8ef85eea91d46a5c68.jpg,abw,8
id_01ccc68d8a1e042810a6c67d.jpg,abw,2
id_01ce1ba21fbd4de0406bead0.jpg,,0
id_01d2e88781d6a394f2a294a6.jpg,pbw,15
id_01d53c8e1dcfb26009b6d87a.jpg,pbw,12
id_01e39cedaddf7d641e2e103b.jpg,,0
id_01f2350ec642f46447d7cebe.jpg,,0
id_02062ff90f26d4d5422544b7.jpg,,0
id_020985f3f6038e28674b15a9.jpg,pbw,19
