Image_ID	Target
ID_C1CF5AE2D07679BAE328EA3D_PBW	1
ID_E1195008D2E0774E771E106A_ABW	6
ID_BDEC925B6EC3208E023C15CC_PBW	11
ID_1EE4AF25D3434CFA63084A41_PBW	14
ID_10A46E521341E1C5FD4D3754_PBW	6
ID_CD8A9DCD15BC55C3076C611B_PBW	1
ID_D2A5BD10E81CFDBC848B5B37_PBW	35
ID_330521F25F0D8957FF875E83_ABW	1
ID_C688F3C99E952C0BB9F94F41_PBW	7
ID_1EAA00214AE5E4FD95676822_PBW	1
ID_B2EA317FD3EF95B705DC9931_ABW	4
ID_58BC9CC346EE1DD8EAAB4903_ABW	7
ID_F4615CF54C3E88D3EC9994CF_PBW	3
ID_A5371D227A6224B0C94EDDA5_ABW	6
ID_912303E14EF6CCF5F641C7B1_ABW	2
ID_349A734C693AE24C93879FE1_PBW	1
ID_47CF95AD9F66E385A9F3234F_PBW	3
ID_F9122C6338804D5D796B1F7F_ABW	5
ID_FBD9C6E47BD5954862DEDFC6_PBW	16
ID_00C6D6DB61A9D7393AD39186_PBW	8
ID_41327851EEA2D0B7ED5CD62A_PBW	21
ID_9E6CC699C8368C1F84A877BA_ABW	7
ID_7446BF6109963F05AAFB2013_ABW	3
ID_29AD25BE1C0B26F761629CBB_PBW	2
ID_BA032FEA7106EE82E3F83054_PBW	2
ID_BA032FEA7106EE82E3F83054_ABW	1
ID_34564437BE724A8BE56F807A_PBW	7
ID_2574F89277D0D5FC24C7321C_PBW	4
ID_AC79E5E620D6916C3D2C2C85_ABW	5
ID_D00A0C981289B0844CE624B3_ABW	8
ID_1E0540CC6A6985E9FC0FF43A_ABW	1
ID_D23A4BCE48CE5B1D6319918D_ABW	3
ID_02735CCFC0A0DA080B92142C_ABW	7
ID_538CA277D65F1A723C2C38B2_PBW	3
ID_DA64E483291BF535CBBF7F00_PBW	14
ID_8D07945565B3EAC11CD01C0B_PBW	24
ID_EBF69B40B52F3D95363A1F8D_PBW	1
ID_5CA6B7BF5D96A364F3B474BD_PBW	2
ID_4292FEA6F87917FAEE65A8E0_PBW	62
ID_C3E59D496CC52808752F9DD0_ABW	2
ID_CF95E98DD1E16CC56E81C462_PBW	109
ID_31D2BDF76652545DA48BC619_PBW	2
ID_0548330DE2C8ECE3B7DCC913_PBW	5
ID_4C39F2139430352613AD77BD_PBW	9
ID_B0D286FF6974C8ECA4C5CD3E_PBW	15
ID_AE781379A882CE5AA3430C14_ABW	7
ID_E0C9701832C92535E723D1BC_ABW	10
ID_49C00FABFA74584CFB76CE81_PBW	5
ID_49C00FABFA74584CFB76CE81_ABW	1
ID_48CCEDEE8B77BF03FA3B19D4_ABW	9
ID_77D2F9116C3995BD4F0A0C4A_PBW	36
ID_F7A4CB2A12E50465464E63BE_PBW	5
ID_4DB3C05E54425F3E65652C56_PBW	3
ID_7ED40BC1B5F9CDFDBDF2AE42_PBW	4
ID_FC9ADBCADE61514BB9AAC30C_PBW	4
ID_A2D744C848968B360B4F8110_PBW	4
ID_0705B843355FE0D89BB8FBC5_PBW	49
ID_3B4AA128BD7843318CF496FA_PBW	3
ID_B981992F1FD6DB6CE2FEDB0C_ABW	7
ID_D0256D57D91B4CBA6E01126A_ABW	7
ID_DB6A7DC8721843851195D296_ABW	8
ID_3F01DB5447560A3912F075D9_PBW	5
ID_0A430D4E868832EAE200E5C6_PBW	11
ID_9C1C2F630A87894355192C19_PBW	6
ID_172BCA705FA2A0E636563242_PBW	4
ID_DBE0D761864B89F67C0B5D50_ABW	14
ID_76189B756E3A376D062F2E77_PBW	3
ID_AEBB2582730583EDD39337CD_ABW	5
ID_4C51EF3CC9C4A87E5F5EB83D_PBW	4
ID_2A64A526EE924D8C192FA38B_PBW	46
ID_94AF37F51A18726E40765126_PBW	36
ID_6B46404CE0839D94445F5F64_PBW	71
ID_B85453EBE1B99368E248E73D_ABW	4
ID_7BF58B57C54ED822F85968EF_ABW	9
ID_7BF58B57C54ED822F85968EF_PBW	1
ID_3D859E910F7472E39A416C58_PBW	9
ID_361E0DBABAD5A8B62E5DB5F7_PBW	50
ID_E03286B0683BA55DFC4D70E6_PBW	61
ID_A45862231CC5927B698CB536_PBW	65
ID_C41F53673799B39128C92C3F_PBW	1
